600360	华微电子	-2.01	3.91	-0.08	3.91	3.92	32598	109	          0.00	          0.48	3.97	3.99	3.86	3.99	    51.08	12768804	  0.72	
000897	津滨发展	-1.75	5.06	-0.09	5.06	5.07	392104	111	          0.00	          2.42	5.10	5.13	4.96	5.15	--  	197233024	  0.78	
600831	广电网络	-2.00	7.34	-0.15	7.34	7.35	32617	2	         -0.27	          0.58	7.50	7.51	7.30	7.49	    24.72	24111780	  0.99	
002310	东方园林	3.04	32.87	0.97	32.87	32.88	67300	1	         -0.24	          2.24	33.23	33.80	32.50	31.90	    32.75	222422144	  1.81	
600118	中国卫星	-1.20	18.16	-0.22	18.16	18.17	114378	4	         -0.21	          0.97	18.51	18.56	17.90	18.38	    73.78	207794976	  0.81	
002233	塔牌集团	-1.69	6.39	-0.11	6.39	6.40	20479	4	         -0.15	          0.58	6.50	6.50	6.35	6.50	    23.32	13127815	  0.72	
002106	莱宝高科	-1.98	11.36	-0.23	11.36	11.38	39458	2	         -0.08	          0.68	11.59	11.59	11.34	11.59	   132.86	45041272	  0.94	
300088	长信科技	-0.69	14.37	-0.10	14.37	14.39	62151	2	         -0.13	          1.63	14.49	14.66	14.21	14.47	    24.37	90003400	  1.25	
000997	新 大 陆	5.52	17.20	0.90	17.20	17.22	276653	93	         -0.40	          5.45	16.60	17.50	16.48	16.30	    58.45	472452000	  1.81	
002320	海峡股份	-1.42	9.05	-0.13	9.04	9.05	15635	4	         -0.33	          0.37	9.20	9.23	9.01	9.18	    33.00	14237579	  0.91	
600980	*ST北磁	-0.53	11.36	-0.06	11.35	11.36	5690	13	          0.00	          0.44	11.37	11.53	11.34	11.42	    66.54	6501274	  1.22	
600100	同方股份	-2.22	9.67	-0.22	9.66	9.67	240863	110	         -0.20	          1.21	9.89	9.93	9.60	9.89	    16.45	234735104	  0.93	
300077	国民技术	4.58	27.20	1.19	27.19	27.20	133317	584	          0.22	          5.34	26.09	27.76	25.71	26.01	   537.36	360719104	  1.24	
600502	安徽水利	0.00	8.90	0.00	8.89	8.90	118470	12	          0.11	          2.36	8.99	9.07	8.78	8.90	    19.48	105768488	  0.91	
000930	中粮生化	0.00	4.07	0.00	4.07	4.08	38879	14	          0.24	          0.40	4.08	4.10	4.04	4.07	    49.92	15823256	  0.86	
002023	海特高新	-1.10	16.13	-0.18	16.13	16.14	14990	12	          0.31	          0.52	16.29	16.37	16.04	16.31	    52.24	24232844	  0.52	
002268	卫 士 通	3.62	29.16	1.02	29.15	29.17	77926	2	         -0.47	          4.73	28.20	29.30	27.91	28.14	   702.67	224362256	  3.17	
600528	中铁二局	-1.76	5.03	-0.09	5.02	5.03	38892	5	          0.00	          0.27	5.10	5.12	4.99	5.12	    21.22	19587120	  1.38	
000099	中信海直	-2.58	8.32	-0.22	8.31	8.32	97016	110	         -0.12	          1.72	8.53	8.55	8.24	8.54	    25.93	81132984	  0.73	
600590	泰豪科技	-1.22	6.47	-0.08	6.46	6.47	21992	5	         -0.15	          0.44	6.56	6.60	6.41	6.55	    80.95	14293086	  0.81	
600846	同济科技	-1.57	5.63	-0.09	5.62	5.63	47158	12	         -0.17	          0.75	5.72	5.72	5.57	5.72	    37.27	26492312	  1.42	
002151	北斗星通	-0.54	35.25	-0.19	35.23	35.24	25779	12	         -0.16	          2.47	35.50	35.66	34.85	35.44	   253.51	90670896	  1.43	
002307	北新路桥	0.55	5.46	0.03	5.46	5.47	26306	20	          0.00	          0.61	5.50	5.60	5.43	5.43	    48.73	14487868	  2.06	
000695	滨海能源	-2.05	7.17	-0.15	7.17	7.18	10654	46	         -0.13	          0.48	7.33	7.35	7.11	7.32	--  	7688446	  0.62	
002041	登海种业	-0.90	34.25	-0.31	34.26	34.30	38217	1	          0.02	          1.16	35.07	35.46	34.18	34.56	    66.98	133585680	  1.27	
000541	佛山照明	0.45	6.73	0.03	6.72	6.73	218500	10	         -0.44	          3.54	6.70	6.83	6.61	6.70	    20.49	147001664	  2.20	
000683	远兴能源	-3.69	3.91	-0.15	3.93	3.94	54389	700	         -0.76	          0.71	4.05	4.06	3.90	4.06	--  	21550676	  0.82	
002060	粤 水 电	-1.57	4.39	-0.07	4.39	4.40	42258	29	          0.00	          0.70	4.46	4.46	4.37	4.46	    42.42	18627656	  0.61	
000567	海德股份	-1.85	7.44	-0.14	7.44	7.49	3006	1	          0.00	          0.23	7.58	7.58	7.38	7.58	   452.36	2247033	  0.53	
600261	阳光照明	1.78	14.30	0.25	14.28	14.30	71876	7	          0.00	          1.11	14.00	14.56	13.41	14.05	    38.31	102060024	  1.16	
000510	金路集团	2.14	5.26	0.11	5.25	5.26	143914	4	          0.19	          2.36	5.30	5.48	5.20	5.15	--  	76771920	  2.17	
600012	皖通高速	-1.01	3.94	-0.04	3.94	3.95	16447	1	          0.00	          0.14	3.99	3.99	3.93	3.98	     7.58	6497553	  1.35	
000063	中兴通讯	-5.38	13.18	-0.75	13.16	13.18	516496	7	         -0.45	          1.84	13.90	13.91	13.00	13.93	    61.60	685655296	  2.60	
600536	中国软件	-2.46	36.88	-0.93	36.88	36.92	32836	3	          0.00	          1.45	37.17	37.56	36.36	37.81	  1204.70	121201984	  1.06	
600584	长电科技	-1.69	6.41	-0.11	6.40	6.42	51904	100	          0.00	          0.61	6.53	6.56	6.30	6.52	   387.59	33233448	  0.78	
002202	金风科技	-0.62	8.05	-0.05	8.05	8.07	84204	7	         -0.49	          0.40	8.06	8.16	7.95	8.10	    86.56	67632376	  0.72	
002438	江苏神通	-0.99	12.06	-0.12	12.01	12.05	7647	1	          0.50	          0.63	12.19	12.26	11.92	12.18	    40.23	9268807	  0.82	
600354	敦煌种业	-2.00	7.36	-0.15	7.36	7.37	209072	213	         -0.54	          4.79	7.54	7.64	7.28	7.51	--  	155923120	  0.71	
600499	科达机电	0.65	20.28	0.13	20.27	20.28	64162	12	         -0.04	          1.00	20.18	20.74	20.00	20.15	    34.73	130848520	  1.38	
000400	许继电气	-0.33	29.95	-0.10	29.95	29.99	14900	2	          0.16	          0.38	30.05	30.18	29.63	30.05	    38.55	44406520	  0.48	
002056	横店东磁	-1.18	15.10	-0.18	15.10	15.12	18157	5	          0.00	          0.44	15.35	15.35	14.96	15.28	    24.61	27507276	  0.81	
300035	中科电气	-3.18	11.28	-0.37	11.28	11.30	152853	110	         -0.08	         13.91	11.52	11.52	11.11	11.65	    22.43	172829568	  0.78	
600106	重庆路桥	-1.60	3.69	-0.06	3.69	3.71	45408	1343	         -0.53	          0.50	3.75	3.75	3.69	3.75	    15.09	16842920	  1.04	
002249	大洋电机	-0.91	10.88	-0.10	10.88	10.89	55302	60	         -0.45	          1.32	10.89	10.97	10.59	10.98	    39.03	59651396	  0.76	
600458	时代新材	-3.42	9.89	-0.35	9.89	9.90	58310	53	          0.00	          0.88	10.27	10.35	9.85	10.24	    46.80	58602360	  1.01	
002431	棕榈园林	-1.07	20.26	-0.22	20.25	20.26	35659	28	         -0.19	          1.35	20.45	20.66	20.09	20.48	    32.88	72691088	  0.67	
000012	南  玻Ａ	-1.84	7.99	-0.15	7.99	8.00	100276	61	         -0.62	          0.77	8.10	8.14	7.97	8.14	    19.81	80561336	  0.76	
002190	成飞集成	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.15	   184.95	0	  0.00	
002238	天威视讯	-2.73	13.20	-0.37	13.19	13.20	18873	1	         -0.07	          0.59	13.57	13.57	13.09	13.57	    28.95	25074180	  1.58	
