000623	吉林敖东	17.56	0.05	0.29	17.46	17.79	17.43	17.51	    16.86	190517680	  1.59	          1.40	吉林	证券	      77248.32	        135.65亿	20131029	1025063.00	11.96	238987.80	128175.80	
000625	长安汽车	11.02	-0.16	-1.43	11.23	11.25	10.98	11.18	    16.87	339891168	  1.00	          0.91	重庆	汽车整车	     338752.44	        373.31亿	20131030	1756335.63	65.30	2181797.50	1215469.13	
000626	如意集团	7.60	0.02	0.26	7.55	7.80	7.55	7.58	    40.41	13266806	  1.69	          0.86	江苏	贸易	      20189.25	         15.34亿	20131019	41381.25	87.42	694439.94	7853.12	
000627	天茂集团	2.67	-0.04	-1.48	2.66	2.72	2.61	2.71	--  	94289632	  2.86	          2.62	湖北	化学制品	     135358.98	         36.14亿	20131030	147444.31	30.21	40780.95	60707.21	
000628	高新发展	6.33	0.03	0.48	6.30	6.41	6.23	6.30	--  	20273144	  1.78	          1.71	四川	综合	      18774.72	         11.88亿	20131024	19290.85	93.55	233342.92	15035.55	
000629	攀钢钒钛	2.01	0.04	2.03	1.97	2.02	1.96	1.97	    21.33	131899384	  2.12	          1.39	四川	其他采掘	     476723.94	         95.82亿	20131020	1509519.13	56.98	700300.44	874837.50	
000630	铜陵有色	9.42	0.18	1.95	9.24	9.50	9.18	9.24	    25.69	103020352	  2.35	          0.78	安徽	有色金属	     142157.84	        133.91亿	20131031	1101484.50	72.71	2679432.50	1259805.13	
000631	顺发恒业	4.59	0.04	0.88	4.55	4.63	4.51	4.55	    61.56	16925368	  1.54	          0.35	吉林	房地产开发	     104550.97	         47.99亿	20131026	245391.55	81.20	1273399.50	1924.14	
000632	三木集团	4.49	0.00	0.00	4.50	4.56	4.42	4.49	   292.69	9934126	  1.33	          0.47	福建	综合	      46505.91	         20.88亿	20131026	123486.72	74.50	359823.19	12601.87	
000633	合金投资	0.00	--  	--  	--  	--  	--  	6.01	  1224.51	0	  0.00	          0.00	辽宁	专用设备	      38510.64	         23.14亿	20131026	22242.45	25.15	17935.15	2749.84	
000635	英 力 特	9.14	-0.01	-0.11	9.16	9.36	9.08	9.15	    29.37	28747858	  1.48	          1.76	宁夏	化学原料	      17706.10	         16.18亿	20131024	273699.31	25.44	82691.76	266145.31	
000636	风华高科	5.85	-0.04	-0.68	5.90	5.92	5.76	5.89	    63.24	45038664	  1.54	          1.15	广东	元件	      67093.63	         39.25亿	20131029	221914.47	31.19	118104.92	109222.22	
000637	茂化实华	4.88	0.02	0.41	4.86	4.98	4.84	4.86	    38.64	37193668	  1.91	          2.07	广东	石油化工	      36648.55	         17.88亿	20131025	78707.80	16.32	59488.66	29306.41	
000638	万方发展	4.35	0.05	1.16	4.30	4.36	4.27	4.30	--  	16944890	  1.88	          1.27	辽宁	房地产开发	      30940.00	         13.46亿	20131030	21197.80	74.96	112346.67	297.76	
000639	西王食品	17.35	-0.07	-0.40	17.40	17.53	16.90	17.42	    19.23	45238532	  0.94	          2.92	山东	农产品加工	       9024.74	         15.66亿	20131118	110477.26	29.32	89583.76	56584.96	
000650	仁和药业	5.38	-0.01	-0.19	5.39	5.43	5.35	5.39	    22.01	53297824	  1.20	          1.00	江西	中药	      99040.99	         53.28亿	20131030	180238.06	16.31	127462.87	31249.59	
000651	格力电器	29.92	0.36	1.22	29.50	30.13	29.21	29.56	     8.91	687253760	  1.37	          0.78	广东	白色家电	     298621.16	        893.47亿	20131028	3130010.50	75.15	10066026.00	1366349.88	
000652	泰达股份	4.56	0.07	1.56	4.55	4.60	4.44	4.49	--  	85702080	  2.11	          1.29	天津	综合	     146389.59	         66.75亿	20131030	192086.45	87.30	1249454.38	88062.30	
000655	金岭矿业	7.12	0.09	1.28	7.03	7.14	7.01	7.03	    17.17	19080290	  1.81	          0.45	山东	其他采掘	      59534.01	         42.39亿	20140109	299458.41	15.86	139406.63	30834.00	
000656	金科股份	8.96	0.04	0.45	8.94	9.08	8.77	8.92	     8.35	124865800	  1.42	          3.35	重庆	房地产开发	      41724.92	         37.39亿	20131029	774509.63	84.74	5881950.00	47023.63	
000657	中钨高新	10.87	0.10	0.93	10.68	10.94	10.68	10.77	--  	20171696	  1.46	          1.29	湖南	有色金属	      14405.07	         15.66亿	20140127	27778.01	27.21	22847.27	11708.47	
000659	珠海中富	2.36	-0.04	-1.67	2.40	2.40	2.33	2.40	--  	42338688	  1.26	          1.39	广东	包装印刷	     128570.25	         30.34亿	20131031	194451.59	65.20	224445.02	317026.22	
000661	长春高新	122.84	-0.56	-0.45	123.01	124.85	121.08	123.40	    60.12	125890160	  1.26	          0.78	吉林	生物制品	      13132.37	        161.32亿	20131022	110874.71	41.01	168929.16	63758.21	
000662	索芙特	5.78	0.04	0.70	5.71	5.83	5.63	5.74	--  	37982528	  1.70	          2.30	广西	化学制品	      28798.58	         16.65亿	20131025	59576.26	25.59	45089.59	27343.59	
000663	永安林业	11.35	-0.01	-0.09	11.40	11.49	11.25	11.36	--  	87337528	  1.97	          4.60	福建	林业	      16691.85	         18.95亿	20131026	33672.90	73.43	71274.75	37122.63	
000665	湖北广电	12.17	-0.29	-2.33	12.36	12.45	12.03	12.46	    29.14	63356384	  0.85	          2.72	湖北	网络服务	      18995.71	         23.12亿	20131125	225875.34	30.32	56542.95	191146.56	
000666	经纬纺机	0.00	--  	--  	--  	--  	--  	9.76	    11.88	0	  0.00	          0.00	北京	多元金融	      29345.88	         28.64亿	20131223	495073.69	47.06	1393184.88	175401.16	
000667	名流置业	1.80	0.00	0.00	1.80	1.81	1.79	1.80	    67.40	23838660	  1.18	          0.52	云南	房地产开发	     255959.23	         46.07亿	20131022	537610.63	65.68	1501424.63	53681.45	
000668	荣丰控股	0.00	--  	--  	--  	--  	--  	9.39	   407.38	0	  0.00	          0.00	上海	房地产开发	      14668.41	         13.77亿	20131030	67097.81	55.43	159674.63	407.41	
000669	金鸿能源	31.01	-0.31	-0.99	31.18	31.34	30.71	31.32	    27.79	33776272	  1.26	          0.72	吉林	燃气	      15237.26	         47.25亿	20131213	199041.86	60.64	119897.71	256378.05	
000670	S舜元	0.00	--  	--  	--  	--  	--  	15.22	   719.71	0	  0.00	          0.00	湖北	房地产开发	      15466.87	         23.54亿	20140128	21572.47	35.44	40402.26	96.47	
